City,County,Indicator,Category,CHR&R release year,Underlying data year / period,Value,Unit,Better direction,Nashville rank out of 9,Peer city average (excluding Nashville),Nashville difference from peer average,Nashville percent difference from peer average,Nashville vs peer average,Best performing city,Best performing value,Worst performing city,Worst performing value
Nashville,"Davidson County, TN",Preventable Hospital Stays,Clinical care,2016,2013,5997,"hospital stays per 100,000 Medicare enrollees",Lower is better,9,4379.625,1617.375,36.93,Worse,Denver,3120,Nashville,5997
Austin,"Travis County, TX",Children in Poverty,Social & economic,2016,2014,23.1,%,Lower is better,9,22.4125,9.0875,40.55,Worse,Raleigh,14.3,Nashville,31.5
Raleigh,"Wake County, NC",Children in Poverty,Social & economic,2016,2014,14.3,%,Lower is better,9,22.4125,9.0875,40.55,Worse,Raleigh,14.3,Nashville,31.5
Durham,"Durham County, NC",Children in Poverty,Social & economic,2016,2014,22.2,%,Lower is better,9,22.4125,9.0875,40.55,Worse,Raleigh,14.3,Nashville,31.5
Charlotte,"Mecklenburg County, NC",Children in Poverty,Social & economic,2016,2014,21.1,%,Lower is better,9,22.4125,9.0875,40.55,Worse,Raleigh,14.3,Nashville,31.5
Denver,"Denver County, CO",Children in Poverty,Social & economic,2016,2014,22.7,%,Lower is better,9,22.4125,9.0875,40.55,Worse,Raleigh,14.3,Nashville,31.5
Atlanta,"Fulton County, GA",Children in Poverty,Social & economic,2016,2014,25.2,%,Lower is better,9,22.4125,9.0875,40.55,Worse,Raleigh,14.3,Nashville,31.5
Fort Worth,"Tarrant County, TX",Children in Poverty,Social & economic,2016,2014,21.7,%,Lower is better,9,22.4125,9.0875,40.55,Worse,Raleigh,14.3,Nashville,31.5
Dallas,"Dallas County, TX",Children in Poverty,Social & economic,2016,2014,29,%,Lower is better,9,22.4125,9.0875,40.55,Worse,Raleigh,14.3,Nashville,31.5
Nashville,"Davidson County, TN",Children in Poverty,Social & economic,2016,2014,31.5,%,Lower is better,9,22.4125,9.0875,40.55,Worse,Raleigh,14.3,Nashville,31.5
Austin,"Travis County, TX",Unemployment,Social & economic,2016,2014,4.0195495715,%,Lower is better,6,5.2554,-0.200703,-3.82,Better,Austin,4.0195495715,Atlanta,7.188746859
Raleigh,"Wake County, NC",Unemployment,Social & economic,2016,2014,4.7627059317,%,Lower is better,6,5.2554,-0.200703,-3.82,Better,Austin,4.0195495715,Atlanta,7.188746859
Durham,"Durham County, NC",Unemployment,Social & economic,2016,2014,4.9927463748,%,Lower is better,6,5.2554,-0.200703,-3.82,Better,Austin,4.0195495715,Atlanta,7.188746859
Charlotte,"Mecklenburg County, NC",Unemployment,Social & economic,2016,2014,5.8709026242,%,Lower is better,6,5.2554,-0.200703,-3.82,Better,Austin,4.0195495715,Atlanta,7.188746859
Denver,"Denver County, CO",Unemployment,Social & economic,2016,2014,4.874664968,%,Lower is better,6,5.2554,-0.200703,-3.82,Better,Austin,4.0195495715,Atlanta,7.188746859
Atlanta,"Fulton County, GA",Unemployment,Social & economic,2016,2014,7.188746859,%,Lower is better,6,5.2554,-0.200703,-3.82,Better,Austin,4.0195495715,Atlanta,7.188746859
Fort Worth,"Tarrant County, TX",Unemployment,Social & economic,2016,2014,4.9807715419,%,Lower is better,6,5.2554,-0.200703,-3.82,Better,Austin,4.0195495715,Atlanta,7.188746859
Dallas,"Dallas County, TX",Unemployment,Social & economic,2016,2014,5.3531099166,%,Lower is better,6,5.2554,-0.200703,-3.82,Better,Austin,4.0195495715,Atlanta,7.188746859
Nashville,"Davidson County, TN",Unemployment,Social & economic,2016,2014,5.0546965543,%,Lower is better,6,5.2554,-0.200703,-3.82,Better,Austin,4.0195495715,Atlanta,7.188746859
Austin,"Travis County, TX",Median Household Income,Social & economic,2016,2014,61779,USD,Higher is better,9,57144.5,-8949.5,-15.66,Worse,Raleigh,66950,Nashville,48195
Raleigh,"Wake County, NC",Median Household Income,Social & economic,2016,2014,66950,USD,Higher is better,9,57144.5,-8949.5,-15.66,Worse,Raleigh,66950,Nashville,48195
Durham,"Durham County, NC",Median Household Income,Social & economic,2016,2014,50745,USD,Higher is better,9,57144.5,-8949.5,-15.66,Worse,Raleigh,66950,Nashville,48195
Charlotte,"Mecklenburg County, NC",Median Household Income,Social & economic,2016,2014,59049,USD,Higher is better,9,57144.5,-8949.5,-15.66,Worse,Raleigh,66950,Nashville,48195
Denver,"Denver County, CO",Median Household Income,Social & economic,2016,2014,54872,USD,Higher is better,9,57144.5,-8949.5,-15.66,Worse,Raleigh,66950,Nashville,48195
Atlanta,"Fulton County, GA",Median Household Income,Social & economic,2016,2014,55516,USD,Higher is better,9,57144.5,-8949.5,-15.66,Worse,Raleigh,66950,Nashville,48195
Fort Worth,"Tarrant County, TX",Median Household Income,Social & economic,2016,2014,58127,USD,Higher is better,9,57144.5,-8949.5,-15.66,Worse,Raleigh,66950,Nashville,48195
Dallas,"Dallas County, TX",Median Household Income,Social & economic,2016,2014,50118,USD,Higher is better,9,57144.5,-8949.5,-15.66,Worse,Raleigh,66950,Nashville,48195
Nashville,"Davidson County, TN",Median Household Income,Social & economic,2016,2014,48195,USD,Higher is better,9,57144.5,-8949.5,-15.66,Worse,Raleigh,66950,Nashville,48195
Austin,"Travis County, TX",High School Completion,Social & economic,2016,,,%,Higher is better,,,,,,,,,
Raleigh,"Wake County, NC",High School Completion,Social & economic,2016,,,%,Higher is better,,,,,,,,,
Durham,"Durham County, NC",High School Completion,Social & economic,2016,,,%,Higher is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",High School Completion,Social & economic,2016,,,%,Higher is better,,,,,,,,,
Denver,"Denver County, CO",High School Completion,Social & economic,2016,,,%,Higher is better,,,,,,,,,
Atlanta,"Fulton County, GA",High School Completion,Social & economic,2016,,,%,Higher is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",High School Completion,Social & economic,2016,,,%,Higher is better,,,,,,,,,
Dallas,"Dallas County, TX",High School Completion,Social & economic,2016,,,%,Higher is better,,,,,,,,,
Nashville,"Davidson County, TN",High School Completion,Social & economic,2016,,,%,Higher is better,,,,,,,,,
Austin,"Travis County, TX",Income Inequality,Social & economic,2016,2010-2014,4.9151950635,80th/20th percentile income ratio,Lower is better,3,4.969328,-0.312879,-6.30,Better,Raleigh,4.2947215047,Atlanta,6.3232607851
Raleigh,"Wake County, NC",Income Inequality,Social & economic,2016,2010-2014,4.2947215047,80th/20th percentile income ratio,Lower is better,3,4.969328,-0.312879,-6.30,Better,Raleigh,4.2947215047,Atlanta,6.3232607851
Durham,"Durham County, NC",Income Inequality,Social & economic,2016,2010-2014,4.8911867205,80th/20th percentile income ratio,Lower is better,3,4.969328,-0.312879,-6.30,Better,Raleigh,4.2947215047,Atlanta,6.3232607851
Charlotte,"Mecklenburg County, NC",Income Inequality,Social & economic,2016,2010-2014,4.7370926701,80th/20th percentile income ratio,Lower is better,3,4.969328,-0.312879,-6.30,Better,Raleigh,4.2947215047,Atlanta,6.3232607851
Denver,"Denver County, CO",Income Inequality,Social & economic,2016,2010-2014,5.3658370601,80th/20th percentile income ratio,Lower is better,3,4.969328,-0.312879,-6.30,Better,Raleigh,4.2947215047,Atlanta,6.3232607851
Atlanta,"Fulton County, GA",Income Inequality,Social & economic,2016,2010-2014,6.3232607851,80th/20th percentile income ratio,Lower is better,3,4.969328,-0.312879,-6.30,Better,Raleigh,4.2947215047,Atlanta,6.3232607851
Fort Worth,"Tarrant County, TX",Income Inequality,Social & economic,2016,2010-2014,4.5142960842,80th/20th percentile income ratio,Lower is better,3,4.969328,-0.312879,-6.30,Better,Raleigh,4.2947215047,Atlanta,6.3232607851
Dallas,"Dallas County, TX",Income Inequality,Social & economic,2016,2010-2014,4.7130339037,80th/20th percentile income ratio,Lower is better,3,4.969328,-0.312879,-6.30,Better,Raleigh,4.2947215047,Atlanta,6.3232607851
Nashville,"Davidson County, TN",Income Inequality,Social & economic,2016,2010-2014,4.6564489276,80th/20th percentile income ratio,Lower is better,3,4.969328,-0.312879,-6.30,Better,Raleigh,4.2947215047,Atlanta,6.3232607851
Austin,"Travis County, TX",Severe Housing Problems,Physical environment,2016,2008-2012,21.441521442,%,Lower is better,5,19.305358,-0.490265,-2.54,Better,Raleigh,14.629144021,Dallas,22.230327989
Raleigh,"Wake County, NC",Severe Housing Problems,Physical environment,2016,2008-2012,14.629144021,%,Lower is better,5,19.305358,-0.490265,-2.54,Better,Raleigh,14.629144021,Dallas,22.230327989
Durham,"Durham County, NC",Severe Housing Problems,Physical environment,2016,2008-2012,18.527174411,%,Lower is better,5,19.305358,-0.490265,-2.54,Better,Raleigh,14.629144021,Dallas,22.230327989
Charlotte,"Mecklenburg County, NC",Severe Housing Problems,Physical environment,2016,2008-2012,17.569972273,%,Lower is better,5,19.305358,-0.490265,-2.54,Better,Raleigh,14.629144021,Dallas,22.230327989
Denver,"Denver County, CO",Severe Housing Problems,Physical environment,2016,2008-2012,20.852827162,%,Lower is better,5,19.305358,-0.490265,-2.54,Better,Raleigh,14.629144021,Dallas,22.230327989
Atlanta,"Fulton County, GA",Severe Housing Problems,Physical environment,2016,2008-2012,21.301960999,%,Lower is better,5,19.305358,-0.490265,-2.54,Better,Raleigh,14.629144021,Dallas,22.230327989
Fort Worth,"Tarrant County, TX",Severe Housing Problems,Physical environment,2016,2008-2012,17.889932886,%,Lower is better,5,19.305358,-0.490265,-2.54,Better,Raleigh,14.629144021,Dallas,22.230327989
Dallas,"Dallas County, TX",Severe Housing Problems,Physical environment,2016,2008-2012,22.230327989,%,Lower is better,5,19.305358,-0.490265,-2.54,Better,Raleigh,14.629144021,Dallas,22.230327989
Nashville,"Davidson County, TN",Severe Housing Problems,Physical environment,2016,2008-2012,18.815092717,%,Lower is better,5,19.305358,-0.490265,-2.54,Better,Raleigh,14.629144021,Dallas,22.230327989
Austin,"Travis County, TX",Air Pollution – Particulate Matter,Physical environment,2016,2011,8.77,µg/m³ PM2.5,Lower is better,9,11.4975,2.9625,25.77,Worse,Austin,8.77,Nashville,14.46
Raleigh,"Wake County, NC",Air Pollution – Particulate Matter,Physical environment,2016,2011,12.15,µg/m³ PM2.5,Lower is better,9,11.4975,2.9625,25.77,Worse,Austin,8.77,Nashville,14.46
Durham,"Durham County, NC",Air Pollution – Particulate Matter,Physical environment,2016,2011,12.27,µg/m³ PM2.5,Lower is better,9,11.4975,2.9625,25.77,Worse,Austin,8.77,Nashville,14.46
Charlotte,"Mecklenburg County, NC",Air Pollution – Particulate Matter,Physical environment,2016,2011,12.64,µg/m³ PM2.5,Lower is better,9,11.4975,2.9625,25.77,Worse,Austin,8.77,Nashville,14.46
Denver,"Denver County, CO",Air Pollution – Particulate Matter,Physical environment,2016,2011,13.26,µg/m³ PM2.5,Lower is better,9,11.4975,2.9625,25.77,Worse,Austin,8.77,Nashville,14.46
Atlanta,"Fulton County, GA",Air Pollution – Particulate Matter,Physical environment,2016,2011,13.21,µg/m³ PM2.5,Lower is better,9,11.4975,2.9625,25.77,Worse,Austin,8.77,Nashville,14.46
Fort Worth,"Tarrant County, TX",Air Pollution – Particulate Matter,Physical environment,2016,2011,9.82,µg/m³ PM2.5,Lower is better,9,11.4975,2.9625,25.77,Worse,Austin,8.77,Nashville,14.46
Dallas,"Dallas County, TX",Air Pollution – Particulate Matter,Physical environment,2016,2011,9.86,µg/m³ PM2.5,Lower is better,9,11.4975,2.9625,25.77,Worse,Austin,8.77,Nashville,14.46
Nashville,"Davidson County, TN",Air Pollution – Particulate Matter,Physical environment,2016,2011,14.46,µg/m³ PM2.5,Lower is better,9,11.4975,2.9625,25.77,Worse,Austin,8.77,Nashville,14.46
Austin,"Travis County, TX",Suicide Rate,Health outcomes / well-being,2016,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Suicide Rate,Health outcomes / well-being,2016,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Durham,"Durham County, NC",Suicide Rate,Health outcomes / well-being,2016,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Suicide Rate,Health outcomes / well-being,2016,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Denver,"Denver County, CO",Suicide Rate,Health outcomes / well-being,2016,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Suicide Rate,Health outcomes / well-being,2016,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Suicide Rate,Health outcomes / well-being,2016,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Suicide Rate,Health outcomes / well-being,2016,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Suicide Rate,Health outcomes / well-being,2016,,,"deaths per 100,000 population",Lower is better,,,,,,,,,
Austin,"Travis County, TX",Teen Birth Rate,Health behaviors,2016,2007-2013,41.253295407,"births per 1,000 females ages 15–19",Lower is better,6,42.341336,-0.034885,-0.08,Better,Raleigh,22.524163048,Dallas,60.238000544
Raleigh,"Wake County, NC",Teen Birth Rate,Health behaviors,2016,2007-2013,22.524163048,"births per 1,000 females ages 15–19",Lower is better,6,42.341336,-0.034885,-0.08,Better,Raleigh,22.524163048,Dallas,60.238000544
Durham,"Durham County, NC",Teen Birth Rate,Health behaviors,2016,2007-2013,37.305715967,"births per 1,000 females ages 15–19",Lower is better,6,42.341336,-0.034885,-0.08,Better,Raleigh,22.524163048,Dallas,60.238000544
Charlotte,"Mecklenburg County, NC",Teen Birth Rate,Health behaviors,2016,2007-2013,34.055653668,"births per 1,000 females ages 15–19",Lower is better,6,42.341336,-0.034885,-0.08,Better,Raleigh,22.524163048,Dallas,60.238000544
Denver,"Denver County, CO",Teen Birth Rate,Health behaviors,2016,2007-2013,58.286003233,"births per 1,000 females ages 15–19",Lower is better,6,42.341336,-0.034885,-0.08,Better,Raleigh,22.524163048,Dallas,60.238000544
Atlanta,"Fulton County, GA",Teen Birth Rate,Health behaviors,2016,2007-2013,38.298025652,"births per 1,000 females ages 15–19",Lower is better,6,42.341336,-0.034885,-0.08,Better,Raleigh,22.524163048,Dallas,60.238000544
Fort Worth,"Tarrant County, TX",Teen Birth Rate,Health behaviors,2016,2007-2013,46.76983311,"births per 1,000 females ages 15–19",Lower is better,6,42.341336,-0.034885,-0.08,Better,Raleigh,22.524163048,Dallas,60.238000544
Dallas,"Dallas County, TX",Teen Birth Rate,Health behaviors,2016,2007-2013,60.238000544,"births per 1,000 females ages 15–19",Lower is better,6,42.341336,-0.034885,-0.08,Better,Raleigh,22.524163048,Dallas,60.238000544
Nashville,"Davidson County, TN",Teen Birth Rate,Health behaviors,2016,2007-2013,42.306451734,"births per 1,000 females ages 15–19",Lower is better,6,42.341336,-0.034885,-0.08,Better,Raleigh,22.524163048,Dallas,60.238000544
Austin,"Travis County, TX",Injury Deaths,Health outcomes / well-being,2016,2009-2013,55.325013742,"deaths per 100,000 population",Lower is better,8,51.734052,23.593661,45.61,Worse,Raleigh,35.855601048,Denver,80.442381366
Raleigh,"Wake County, NC",Injury Deaths,Health outcomes / well-being,2016,2009-2013,35.855601048,"deaths per 100,000 population",Lower is better,8,51.734052,23.593661,45.61,Worse,Raleigh,35.855601048,Denver,80.442381366
Durham,"Durham County, NC",Injury Deaths,Health outcomes / well-being,2016,2009-2013,51.451522405,"deaths per 100,000 population",Lower is better,8,51.734052,23.593661,45.61,Worse,Raleigh,35.855601048,Denver,80.442381366
Charlotte,"Mecklenburg County, NC",Injury Deaths,Health outcomes / well-being,2016,2009-2013,41.07580578,"deaths per 100,000 population",Lower is better,8,51.734052,23.593661,45.61,Worse,Raleigh,35.855601048,Denver,80.442381366
Denver,"Denver County, CO",Injury Deaths,Health outcomes / well-being,2016,2009-2013,80.442381366,"deaths per 100,000 population",Lower is better,8,51.734052,23.593661,45.61,Worse,Raleigh,35.855601048,Denver,80.442381366
Atlanta,"Fulton County, GA",Injury Deaths,Health outcomes / well-being,2016,2009-2013,54.793861315,"deaths per 100,000 population",Lower is better,8,51.734052,23.593661,45.61,Worse,Raleigh,35.855601048,Denver,80.442381366
Fort Worth,"Tarrant County, TX",Injury Deaths,Health outcomes / well-being,2016,2009-2013,44.408969247,"deaths per 100,000 population",Lower is better,8,51.734052,23.593661,45.61,Worse,Raleigh,35.855601048,Denver,80.442381366
Dallas,"Dallas County, TX",Injury Deaths,Health outcomes / well-being,2016,2009-2013,50.519262593,"deaths per 100,000 population",Lower is better,8,51.734052,23.593661,45.61,Worse,Raleigh,35.855601048,Denver,80.442381366
Nashville,"Davidson County, TN",Injury Deaths,Health outcomes / well-being,2016,2009-2013,75.327713169,"deaths per 100,000 population",Lower is better,8,51.734052,23.593661,45.61,Worse,Raleigh,35.855601048,Denver,80.442381366
Austin,"Travis County, TX",Broadband Access,Physical environment,2016,,,%,Higher is better,,,,,,,,,
Raleigh,"Wake County, NC",Broadband Access,Physical environment,2016,,,%,Higher is better,,,,,,,,,
Durham,"Durham County, NC",Broadband Access,Physical environment,2016,,,%,Higher is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Broadband Access,Physical environment,2016,,,%,Higher is better,,,,,,,,,
Denver,"Denver County, CO",Broadband Access,Physical environment,2016,,,%,Higher is better,,,,,,,,,
Atlanta,"Fulton County, GA",Broadband Access,Physical environment,2016,,,%,Higher is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Broadband Access,Physical environment,2016,,,%,Higher is better,,,,,,,,,
Dallas,"Dallas County, TX",Broadband Access,Physical environment,2016,,,%,Higher is better,,,,,,,,,
Nashville,"Davidson County, TN",Broadband Access,Physical environment,2016,,,%,Higher is better,,,,,,,,,
Austin,"Travis County, TX",Severe Housing Cost Burden,Physical environment,2016,,,%,Lower is better,,,,,,,,,
Raleigh,"Wake County, NC",Severe Housing Cost Burden,Physical environment,2016,,,%,Lower is better,,,,,,,,,
Durham,"Durham County, NC",Severe Housing Cost Burden,Physical environment,2016,,,%,Lower is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Severe Housing Cost Burden,Physical environment,2016,,,%,Lower is better,,,,,,,,,
Denver,"Denver County, CO",Severe Housing Cost Burden,Physical environment,2016,,,%,Lower is better,,,,,,,,,
Atlanta,"Fulton County, GA",Severe Housing Cost Burden,Physical environment,2016,,,%,Lower is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Severe Housing Cost Burden,Physical environment,2016,,,%,Lower is better,,,,,,,,,
Dallas,"Dallas County, TX",Severe Housing Cost Burden,Physical environment,2016,,,%,Lower is better,,,,,,,,,
Nashville,"Davidson County, TN",Severe Housing Cost Burden,Physical environment,2016,,,%,Lower is better,,,,,,,,,
Austin,"Travis County, TX",Life Expectancy,Health outcomes / well-being,2017,,,years,Higher is better,,,,,,,,,
Raleigh,"Wake County, NC",Life Expectancy,Health outcomes / well-being,2017,,,years,Higher is better,,,,,,,,,
Durham,"Durham County, NC",Life Expectancy,Health outcomes / well-being,2017,,,years,Higher is better,,,,,,,,,
Charlotte,"Mecklenburg County, NC",Life Expectancy,Health outcomes / well-being,2017,,,years,Higher is better,,,,,,,,,
Denver,"Denver County, CO",Life Expectancy,Health outcomes / well-being,2017,,,years,Higher is better,,,,,,,,,
Atlanta,"Fulton County, GA",Life Expectancy,Health outcomes / well-being,2017,,,years,Higher is better,,,,,,,,,
Fort Worth,"Tarrant County, TX",Life Expectancy,Health outcomes / well-being,2017,,,years,Higher is better,,,,,,,,,
Dallas,"Dallas County, TX",Life Expectancy,Health outcomes / well-being,2017,,,years,Higher is better,,,,,,,,,
Nashville,"Davidson County, TN",Life Expectancy,Health outcomes / well-being,2017,,,years,Higher is better,,,,,,,,,
Austin,"Travis County, TX",Infant Mortality,Health outcomes / well-being,2017,2007-2013,4.9493953207,"deaths per 1,000 live births",Lower is better,8,6.504547,0.846896,13.02,Worse,Austin,4.9493953207,Fort Worth,7.3547524369
Raleigh,"Wake County, NC",Infant Mortality,Health outcomes / well-being,2017,2007-2013,6.5722051419,"deaths per 1,000 live births",Lower is better,8,6.504547,0.846896,13.02,Worse,Austin,4.9493953207,Fort Worth,7.3547524369
Durham,"Durham County, NC",Infant Mortality,Health outcomes / well-being,2017,2007-2013,6.6044555431,"deaths per 1,000 live births",Lower is better,8,6.504547,0.846896,13.02,Worse,Austin,4.9493953207,Fort Worth,7.3547524369
Charlotte,"Mecklenburg County, NC",Infant Mortality,Health outcomes / well-being,2017,2007-2013,6.0502683991,"deaths per 1,000 live births",Lower is better,8,6.504547,0.846896,13.02,Worse,Austin,4.9493953207,Fort Worth,7.3547524369
Denver,"Denver County, CO",Infant Mortality,Health outcomes / well-being,2017,2007-2013,6.482762362,"deaths per 1,000 live births",Lower is better,8,6.504547,0.846896,13.02,Worse,Austin,4.9493953207,Fort Worth,7.3547524369
Atlanta,"Fulton County, GA",Infant Mortality,Health outcomes / well-being,2017,2007-2013,7.0155845474,"deaths per 1,000 live births",Lower is better,8,6.504547,0.846896,13.02,Worse,Austin,4.9493953207,Fort Worth,7.3547524369
Fort Worth,"Tarrant County, TX",Infant Mortality,Health outcomes / well-being,2017,2007-2013,7.3547524369,"deaths per 1,000 live births",Lower is better,8,6.504547,0.846896,13.02,Worse,Austin,4.9493953207,Fort Worth,7.3547524369
Dallas,"Dallas County, TX",Infant Mortality,Health outcomes / well-being,2017,2007-2013,7.0069509793,"deaths per 1,000 live births",Lower is better,8,6.504547,0.846896,13.02,Worse,Austin,4.9493953207,Fort Worth,7.3547524369
Nashville,"Davidson County, TN",Infant Mortality,Health outcomes / well-being,2017,2007-2013,7.3514426296,"deaths per 1,000 live births",Lower is better,8,6.504547,0.846896,13.02,Worse,Austin,4.9493953207,Fort Worth,7.3547524369
Austin,"Travis County, TX",Poor or Fair Health,Health outcomes / well-being,2017,2015,15.088748434,%,Lower is better,8,15.892681,1.777619,11.19,Worse,Raleigh,13.02210779,Dallas,19.679962705
Raleigh,"Wake County, NC",Poor or Fair Health,Health outcomes / well-being,2017,2015,13.02210779,%,Lower is better,8,15.892681,1.777619,11.19,Worse,Raleigh,13.02210779,Dallas,19.679962705
Durham,"Durham County, NC",Poor or Fair Health,Health outcomes / well-being,2017,2015,17.638482859,%,Lower is better,8,15.892681,1.777619,11.19,Worse,Raleigh,13.02210779,Dallas,19.679962705
Charlotte,"Mecklenburg County, NC",Poor or Fair Health,Health outcomes / well-being,2017,2015,16.196846326,%,Lower is better,8,15.892681,1.777619,11.19,Worse,Raleigh,13.02210779,Dallas,19.679962705
Denver,"Denver County, CO",Poor or Fair Health,Health outcomes / well-being,2017,2015,15.08822168,%,Lower is better,8,15.892681,1.777619,11.19,Worse,Raleigh,13.02210779,Dallas,19.679962705
Atlanta,"Fulton County, GA",Poor or Fair Health,Health outcomes / well-being,2017,2015,15.244141249,%,Lower is better,8,15.892681,1.777619,11.19,Worse,Raleigh,13.02210779,Dallas,19.679962705
Fort Worth,"Tarrant County, TX",Poor or Fair Health,Health outcomes / well-being,2017,2015,15.182934237,%,Lower is better,8,15.892681,1.777619,11.19,Worse,Raleigh,13.02210779,Dallas,19.679962705
Dallas,"Dallas County, TX",Poor or Fair Health,Health outcomes / well-being,2017,2015,19.679962705,%,Lower is better,8,15.892681,1.777619,11.19,Worse,Raleigh,13.02210779,Dallas,19.679962705
Nashville,"Davidson County, TN",Poor or Fair Health,Health outcomes / well-being,2017,2015,17.670299658,%,Lower is better,8,15.892681,1.777619,11.19,Worse,Raleigh,13.02210779,Dallas,19.679962705
Austin,"Travis County, TX",Poor Physical Health Days,Health outcomes / well-being,2017,2015,3.0259593952,days per month,Lower is better,9,3.434703,0.762811,22.21,Worse,Austin,3.0259593952,Nashville,4.1975137089
Raleigh,"Wake County, NC",Poor Physical Health Days,Health outcomes / well-being,2017,2015,3.2391406572,days per month,Lower is better,9,3.434703,0.762811,22.21,Worse,Austin,3.0259593952,Nashville,4.1975137089
Durham,"Durham County, NC",Poor Physical Health Days,Health outcomes / well-being,2017,2015,3.6659618582,days per month,Lower is better,9,3.434703,0.762811,22.21,Worse,Austin,3.0259593952,Nashville,4.1975137089
Charlotte,"Mecklenburg County, NC",Poor Physical Health Days,Health outcomes / well-being,2017,2015,3.5544458551,days per month,Lower is better,9,3.434703,0.762811,22.21,Worse,Austin,3.0259593952,Nashville,4.1975137089
Denver,"Denver County, CO",Poor Physical Health Days,Health outcomes / well-being,2017,2015,3.3602215308,days per month,Lower is better,9,3.434703,0.762811,22.21,Worse,Austin,3.0259593952,Nashville,4.1975137089
Atlanta,"Fulton County, GA",Poor Physical Health Days,Health outcomes / well-being,2017,2015,3.3870747913,days per month,Lower is better,9,3.434703,0.762811,22.21,Worse,Austin,3.0259593952,Nashville,4.1975137089
Fort Worth,"Tarrant County, TX",Poor Physical Health Days,Health outcomes / well-being,2017,2015,3.3599173121,days per month,Lower is better,9,3.434703,0.762811,22.21,Worse,Austin,3.0259593952,Nashville,4.1975137089
Dallas,"Dallas County, TX",Poor Physical Health Days,Health outcomes / well-being,2017,2015,3.8848993892,days per month,Lower is better,9,3.434703,0.762811,22.21,Worse,Austin,3.0259593952,Nashville,4.1975137089
Nashville,"Davidson County, TN",Poor Physical Health Days,Health outcomes / well-being,2017,2015,4.1975137089,days per month,Lower is better,9,3.434703,0.762811,22.21,Worse,Austin,3.0259593952,Nashville,4.1975137089
Austin,"Travis County, TX",Poor Mental Health Days,Health outcomes / well-being,2017,2015,2.9911735842,days per month,Lower is better,9,3.397945,0.833674,24.53,Worse,Austin,2.9911735842,Nashville,4.2316186004
Raleigh,"Wake County, NC",Poor Mental Health Days,Health outcomes / well-being,2017,2015,3.1243837479,days per month,Lower is better,9,3.397945,0.833674,24.53,Worse,Austin,2.9911735842,Nashville,4.2316186004
Durham,"Durham County, NC",Poor Mental Health Days,Health outcomes / well-being,2017,2015,3.6914096468,days per month,Lower is better,9,3.397945,0.833674,24.53,Worse,Austin,2.9911735842,Nashville,4.2316186004
Charlotte,"Mecklenburg County, NC",Poor Mental Health Days,Health outcomes / well-being,2017,2015,3.5415427808,days per month,Lower is better,9,3.397945,0.833674,24.53,Worse,Austin,2.9911735842,Nashville,4.2316186004
Denver,"Denver County, CO",Poor Mental Health Days,Health outcomes / well-being,2017,2015,3.5767811358,days per month,Lower is better,9,3.397945,0.833674,24.53,Worse,Austin,2.9911735842,Nashville,4.2316186004
Atlanta,"Fulton County, GA",Poor Mental Health Days,Health outcomes / well-being,2017,2015,3.6423548538,days per month,Lower is better,9,3.397945,0.833674,24.53,Worse,Austin,2.9911735842,Nashville,4.2316186004
Fort Worth,"Tarrant County, TX",Poor Mental Health Days,Health outcomes / well-being,2017,2015,3.3931065496,days per month,Lower is better,9,3.397945,0.833674,24.53,Worse,Austin,2.9911735842,Nashville,4.2316186004
Dallas,"Dallas County, TX",Poor Mental Health Days,Health outcomes / well-being,2017,2015,3.2228042593,days per month,Lower is better,9,3.397945,0.833674,24.53,Worse,Austin,2.9911735842,Nashville,4.2316186004
Nashville,"Davidson County, TN",Poor Mental Health Days,Health outcomes / well-being,2017,2015,4.2316186004,days per month,Lower is better,9,3.397945,0.833674,24.53,Worse,Austin,2.9911735842,Nashville,4.2316186004
Austin,"Travis County, TX",Adult Obesity,Health outcomes / well-being,2017,2013,20.3,%,Lower is better,8,24.4,6.5,26.64,Worse,Denver,16.4,Nashville,30.9
Raleigh,"Wake County, NC",Adult Obesity,Health outcomes / well-being,2017,2013,24.8,%,Lower is better,8,24.4,6.5,26.64,Worse,Denver,16.4,Nashville,30.9
Durham,"Durham County, NC",Adult Obesity,Health outcomes / well-being,2017,2013,29.2,%,Lower is better,8,24.4,6.5,26.64,Worse,Denver,16.4,Nashville,30.9
